participant,group,trial,label,no,item,exp,condition,cb,left,right,target,r1,r2,r3,r4,r5,r6,r7,sentence_rt,question_rt,choice_rt,choice,chosen_type,mismatch,dominant,prop_left,prop_right,total_dwell,dwell_left,dwell_right,fixations_left,fixations_right,total_fixation,revisits_left,revisits_right,total_revisits,transitions,ffs,ffd,fvs,fvd,cxt
participant_050,a,43,experiment,10,4,1,exhaustive,y,4b,4a,4a,351.0,211.0,147.0,345.0,318.0,368.0,642.0,2382.0,,2210.0,right,A,False,right,0.121,0.879,941.0,114.0,827.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,left,114.0,left,114.0,exhaustive.A
participant_050,a,10,experiment,15,5,1,contrastive,n,5a,5b,5b,717.0,403.0,366.0,374.0,412.0,418.0,486.0,3176.0,,2027.0,left,A,True,left,0.679,0.321,794.0,539.0,255.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,left,72.0,left,72.0,contrastive.A
participant_050,a,13,experiment,17,6,1,unmodified,n,6a,6b,,463.0,329.0,364.0,419.0,424.0,404.0,571.0,2974.0,,3012.0,left,A,False,left,0.878,0.122,1924.0,1689.0,235.0,3.0,2.0,5.0,2.0,1.0,3.0,4.0,left,140.0,left,140.0,unmodified.A
participant_050,a,49,experiment,19,7,1,exhaustive,n,7a,7b,7a,354.0,217.0,182.0,164.0,316.0,440.0,317.0,1990.0,,2106.0,left,A,False,left,0.83,0.17,1095.0,909.0,186.0,3.0,2.0,5.0,2.0,1.0,3.0,4.0,left,128.0,left,128.0,exhaustive.A
participant_050,a,47,experiment,24,8,1,contrastive,y,8b,8a,8b,295.0,205.0,169.0,474.0,381.0,475.0,709.0,2708.0,,2050.0,left,B,False,left,1.0,0.0,950.0,950.0,0.0,3.0,0.0,3.0,2.0,0.0,2.0,0.0,left,77.0,left,950.0,contrastive.B
participant_050,a,35,experiment,26,9,1,unmodified,y,9b,9a,,371.0,357.0,174.0,340.0,319.0,300.0,351.0,2212.0,,2232.0,right,A,False,right,0.286,0.714,953.0,273.0,680.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,left,273.0,left,273.0,unmodified.A
participant_050,a,45,experiment,28,10,1,exhaustive,y,10b,10a,10a,351.0,247.0,171.0,405.0,256.0,362.0,293.0,2085.0,,2138.0,right,A,False,right,0.245,0.755,872.0,214.0,658.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,left,77.0,left,214.0,exhaustive.A
participant_050,a,42,experiment,33,11,1,contrastive,n,11a,11b,11b,347.0,228.0,206.0,348.0,351.0,432.0,400.0,2312.0,,2303.0,right,B,False,right,0.31,0.69,984.0,305.0,679.0,2.0,3.0,5.0,1.0,2.0,3.0,4.0,right,365.0,right,365.0,contrastive.B
participant_050,a,27,experiment,35,12,1,unmodified,n,12a,12b,,247.0,264.0,233.0,332.0,361.0,487.0,756.0,2680.0,,1903.0,left,A,False,right,0.392,0.608,637.0,250.0,387.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,right,387.0,right,387.0,unmodified.A
participant_050,a,38,experiment,37,13,1,exhaustive,n,13a,13b,13a,552.0,321.0,488.0,352.0,410.0,478.0,446.0,3047.0,,2996.0,left,A,False,left,0.814,0.186,1194.0,972.0,222.0,4.0,3.0,7.0,3.0,2.0,5.0,3.0,right,96.0,right,157.0,exhaustive.A
